symbol,decimal,hex,value
ɑ,593,0251,open,back,unrounded
ɐ,592,0250,open-mid,schwa
ɒ,594,0252,open,back,rounded
æ,230,00E6,raised,open,front,unrounded
ɓ,595,0253,vd,bilabial,implosive
ʙ,665,0299,vd,bilabial,trill
β,946,03B2,vd,bilabial,fricative
ɔ,596,0254,open-mid,back,rounded
ɕ,597,0255,vl,alveolopalatal,fricative
ç,231,00E7,vl,palatal,fricative
ɗ,599,0257,vd,alveolar,implosive
ɖ,598,0256,vd,retroflex,plosive
ð,240,00F0,vd,dental,fricative
ʤ,676,02A4,vd,postalveolar,affricate
ə,601,0259,schwa
ɘ,600,0258,close-mid,schwa
ɚ,602,025A,rhotacized,schwa
ɛ,603,025B,open-mid,front,unrounded
ɜ,604,025C,open-mid,central
ɝ,605,025D,rhotacized,open-mid,central
ɞ,606,025E,open-mid,central,rounded
ɟ,607,025F,vd,palatal,plosive
ʄ,644,0284,vd,palatal,implosive
ɡ,609,0261,vd,velar,plosive
(but,the,IPA,has,ruled,that,an,ordinary,g,is,also,acceptable)
ɠ,608,0260,vd,velar,implosive
ɢ,610,0262,vd,uvular,plosive
ʛ,667,029B,vd,uvular,implosive
ɦ,614,0266,vd,glottal,fricative
ɧ,615,0267,vl,multiple-place,fricative
ħ,295,0127,vl,pharyngeal,fricative
ɥ,613,0265,labial-palatal,approximant
ʜ,668,029C,vl,epiglottal,fricative
ɨ,616,0268,close,central,unrounded
ɪ,618,026A,lax,close,front,unrounded
ʝ,669,029D,vd,palatal,fricative
ɭ,621,026D,vd,retroflex,lateral
ɬ,620,026C,vl,alveolar,lateral,fricative
ɫ,619,026B,velarized,vd,alveolar,lateral
ɮ,622,026E,vd,alveolar,lateral,fricative
ʟ,671,029F,vd,velar,lateral
ɱ,625,0271,vd,labiodental,nasal
ɯ,623,026F,close,back,unrounded
ɰ,624,0270,velar,approximant
ŋ,331,014B,vd,velar,nasal
ɳ,627,0273,vd,retroflex,nasal
ɲ,626,0272,vd,palatal,nasal
ɴ,628,0274,vd,uvular,nasal
ø,248,00F8,front,close-mid,rounded
ɵ,629,0275,rounded,schwa
ɸ,632,0278,vl,bilabial,fricative
θ,952,03B8,vl,dental,fricative
œ,339,0153,front,open-mid,rounded
ɶ,630,0276,front,open,rounded
ʘ,664,0298,bilabial,click
ɹ,633,0279,vd,(post)alveolar,approximant
ɺ,634,027A,vd,alveolar,lateral,flap
ɾ,638,027E,vd,alveolar,tap
ɻ,635,027B,vd,retroflex,approximant
ʀ,640,0280,vd,uvular,trill
ʁ,641,0281,vd,uvular,fricative
ɽ,637,027D,vd,retroflex,flap
ʂ,642,0282,vl,retroflex,fricative
ʃ,643,0283,vl,postalveolar,fricative
ʈ,648,0288,vl,retroflex,plosive
ʧ,679,02A7,vl,postalveolar,affricate
ʉ,649,0289,close,central,rounded
ʊ,650,028A,lax,close,back,rounded
ʋ,651,028B,vd,labiodental,approximant
ⱱ,11377,2C71,voiced,labiodental,flap
ʌ,652,028C,open-mid,back,unrounded
ɣ,611,0263,vd,velar,fricative
ɤ,612,0264,close-mid,back,unrounded
ʍ,653,028D,vl,labial-velar,fricative
χ,967,03C7,vl,uvular,fricative
ʎ,654,028E,vd,palatal,lateral
ʏ,655,028F,lax,close,front,rounded
ʑ,657,0291,vd,alveolopalatal,fricative
ʐ,656,0290,vd,retroflex,fricative
ʒ,658,0292,vd,postalveolar,fricative
ʔ,660,0294,glottal,plosive
ʡ,673,02A1,vd,epiglottal,plosive
ʕ,661,0295,vd,pharyngeal,fricative
ʢ,674,02A2,vd,epiglottal,fricative
ǀ,448,01C0,dental,click
ǁ,449,01C1,alveolar,lateral,click
ǂ,450,01C2,alveolar,click
ǃ,451,01C3,retroflex,click
